title,category,emotion,url
삼겹살,korean,"many_time,perfect,fatty",https://img.piku.co.kr/w/uploads/7zd4dE/11495281c61832b6edf5186158c84c70.jpg
스테이크,western,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/39364905c56bd58985be5875ac39177f.jpg
초밥,japanese,perfect,https://img.piku.co.kr/w/uploads/7zd4dE/47871e958c6560c91a484bc34e023bb7.jpg
곱창,korean,"many_time,perfect,fatty",https://img.piku.co.kr/w/uploads/7zd4dE/411dfc984ffa573e70e5de9351d0e228.jpg
대게찜,korean,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/77413ed4d1f62152bac35a978a6a62d7.jpg
후라이드치킨,korean,"stressed,fatty",https://img.piku.co.kr/w/uploads/7zd4dE/b4272ee83e13e7ff685fdaa28a5a9ff9.jpg
라면,snack,no_time,https://img.piku.co.kr/w/uploads/7zd4dE/e92ee0f1e2fcde70eb10e0dd0803151b.jpg
회,korean,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/b8b4e434e7e6fde5bd1a4ab34519ab9b.jpg
소갈비,korean,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/81b6226e2ec0ef368c3a5b1f1e5cd74c.jpg
떡순튀,snack,no_time,https://img.piku.co.kr/w/uploads/7zd4dE/dc71fad32214f3532625c4990be1b907.jpg
김치찌개,korean,stressed,https://img.piku.co.kr/w/uploads/7zd4dE/8924a9f955589b6e2d96de6c6c3cc8ad.jpg
랍스터버터구이,western,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/d09cbdfb231715160e4f916d4da0f52d.jpg
간장게장,korean,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/c64a6fce311d02580d3aeafca6b7a9ea.jpg
보쌈,korean,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/dd829662baf58916e547b91f3a8097f8.jpg
양념치킨,korean,"stressed,fatty",https://img.piku.co.kr/w/uploads/7zd4dE/8e6cec81b79b2ee96662e5ab9327b350.jpg
육회,korean,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/a473e6ea3568934e782501849950156a.jpg
감자탕,korean,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/92ef8ef5c7fdc2cb51c7693a0073a7df.jpg
부대찌개,korean,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/9c4295000947675979e30acc9e7fd429.jpg
샤브샤브,japanese,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/d1a13269165c37f2c53d6317bd348d68.jpg
햄버거,western,no_time,https://img.piku.co.kr/w/uploads/7zd4dE/17d6f75839f73500b2f7d6291e30a3eb.jpg
닭갈비,korean,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/fa16e063c7f094fd6550d7d505117987.jpg
수육국밥,korean,no_time,https://img.piku.co.kr/w/uploads/7zd4dE/2810a42561ef2717b1ec99edd9f83258.jpg
김치볶음밥,korean,no_time,https://img.piku.co.kr/w/uploads/7zd4dE/70bbdb6b19854d5a2ff3fa4c71d7be2a.jpg
닭도리탕,korean,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/6034f051641fdf89c83378644e92d8aa.jpg
닭강정,korean,"no_time,fatty",https://img.piku.co.kr/w/uploads/7zd4dE/6b2a57b7f4a7ea3941f1d1587ef3ee59.jpg
차돌박이,koean,"many_time,perfect,stressed,fatty",https://img.piku.co.kr/w/uploads/7zd4dE/a77ea0b9ba8bf8260fc914152ed795ce.jpg
피자,western,"many_time,perfect,stressed,fatty",https://img.piku.co.kr/w/uploads/7zd4dE/c408a6d4904cc9acebef16f144cf7ffe.jpg
양념게장,koean,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/a15e6de77007d3d8947e1b63e0ea3256.jpg
된장찌개,koean,"stressed,no_time",https://img.piku.co.kr/w/uploads/7zd4dE/377c2da5286b484fb960a299f8cb4640.jpg
훈제치킨,"koean,supper","many_time,stressed",https://img.piku.co.kr/w/uploads/7zd4dE/cf1e6c522f12b90b12a62693deaf98a4.jpg
양꼬치,chinese,"many_time,stressed,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/ba8ac7a9dbd8966d12751f4f46287cd0.jpg
양갈비,chinese,"many_time,perfect,fatty,stressed",https://img.piku.co.kr/w/uploads/7zd4dE/498d48f218c8c43c6d2cc6cafc6e7487.jpg
닭꼬치,"koean,snack",no_time,https://img.piku.co.kr/w/uploads/7zd4dE/ea2544ba803c8997cc7132956b1e74d1.jpg
간장치킨,"koean,supper","many_time,fatty,stressed",https://img.piku.co.kr/w/uploads/7zd4dE/4caf0d9732cc1976c5414ba82c38f555.jpg
닭발,"koean,supper","many_time,stressed",https://img.piku.co.kr/w/uploads/7zd4dE/7921f34d1f8eb9fb29900bf07024f6a2.jpg
탕수육,chinese,"many_time,fatty",https://img.piku.co.kr/w/uploads/7zd4dE/40ccef34aea3273ea60b58eadc4ea1a6.jpg
크림소스파스타,western,"perfect,many_time",https://img.piku.co.kr/w/uploads/7zd4dE/27f420f0c12e726f96459e6c6748737c.jpg
찜닭,koean,"many_time,stressed",https://img.piku.co.kr/w/uploads/7zd4dE/a3d5ed91052e2ccf024b2e2f2ffc749a.jpg
물냉면,koean,no_time,https://img.piku.co.kr/w/uploads/7zd4dE/7eb1ec681dbd7055135eb9d4953c5108.jpg
조개구이,koean,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/13236aee608ef29ce9b99ed5010f74fb.jpg
설렁탕,koean,"no_time,fatty",https://img.piku.co.kr/w/uploads/7zd4dE/89e977551a17e46909e1effb0a0ca0f7.jpg
족발,koean,"many_time,stressed,fatty",https://img.piku.co.kr/w/uploads/7zd4dE/71735cc2d94b1f7ee48d41502752fc13.jpg
물회,koean,many_time,https://img.piku.co.kr/w/uploads/7zd4dE/233185c4a900983dacf33ab698d53c16.jpg
우동,japanese,no_time,https://img.piku.co.kr/w/uploads/7zd4dE/e30194ed51aef548291209a92d0ef107.jpg
갈비탕,koean,"no_time,fatty",https://img.piku.co.kr/w/uploads/7zd4dE/7f185b5f43a936a98c649cf2c03af25f.jpg
제육볶음,koean,"no_time,stressed",https://img.piku.co.kr/w/uploads/7zd4dE/e76c2761044df0e76088414bb21c7612.jpg
짜장면,chinese,"no_time,needsugar,fatty",https://img.piku.co.kr/w/uploads/7zd4dE/71d36114bcfe440aff71a89a0a63d4eb.jpg
순두부찌개,koean,"no_time,stressed",https://img.piku.co.kr/w/uploads/7zd4dE/bec13e127d21c5c9c554e6eb0b3cc16f.jpg
산낙지,"koean,supper","many_time,stressed",https://img.piku.co.kr/w/uploads/7zd4dE/e23cf35df97f8adc86e8ca1cb9e6e575.jpg
라멘,japanese,"no_time,fatty",https://img.piku.co.kr/w/uploads/7zd4dE/73c9f65f4fc234f630e1121a82414cdd.jpg
토마토스파게티,western,"no_time,many_time,perfect,needsugar,stressed,fatty",https://img.piku.co.kr/w/uploads/7zd4dE/1927a38cced70a1a057a34efbf164a1b.jpg
쭈꾸미볶음,korean,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/9f0df2154ad18368256cc6658aac7a3a.jpg
버팔로윙,western,"no_time,fatty",https://img.piku.co.kr/w/uploads/7zd4dE/31dadf96fa432aadfc7913a24b724e18.jpg
바지락칼국수,supper,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/8e003c732e7c2dac43013e92f5a6adc0.jpg
타코야키,snack,no_time,https://img.piku.co.kr/w/uploads/7zd4dE/3d8d7847ee587c0b5ece901605cd19d3.jpg
쌀국수,supper,no_time,https://img.piku.co.kr/w/uploads/7zd4dE/826d3b7151896cd9b5499a9d7832cf5f.jpg
불족발,supper,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/e3a0d03bdbd134e617baeb523a4976b4.jpg
돈까스,fastfood,"no_time,fatty",https://img.piku.co.kr/w/uploads/7zd4dE/c8737b78a39141429e2a6db97c9212e3.jpg
비빔밥,korean,stressed,https://img.piku.co.kr/w/uploads/7zd4dE/269499fd85186d992d2a6c1e47704b55.jpg
짬뽕,chinese,stressed,https://img.piku.co.kr/w/uploads/7zd4dE/cf7113a82d289aa0d7fbb7c2ebab7448.jpg
카레돈까스덮밥,japanese,no_time,https://img.piku.co.kr/w/uploads/7zd4dE/857db7f1c9ebd4b36c0b0c3395f42149.jpg
대하소금구이,korean,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/1c665d65913ab981243a7efabfb5d091.jpg
인도커리+난,supper,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/4051a5c12d30f604f8af0c8462d18761.jpg
함박스테이크,korean,"many_time,perfect,fatty",https://img.piku.co.kr/w/uploads/7zd4dE/6d2be9dc5deac4997868718f1938bc40.jpg
잔치국수,korean,no_time,https://img.piku.co.kr/w/uploads/7zd4dE/74b0a9bf031cbfc9d0ab9e6b10272504.jpg
돼지껍데기,korean,"many_time,perfect,fatty",https://img.piku.co.kr/w/uploads/7zd4dE/ca3756f7c540ddc0aec16644064d7da7.jpg
훠궈,chinese,"many_time,perfect,stressed",https://img.piku.co.kr/w/uploads/7zd4dE/f05950e59cfea9a389c8a7bd89ee1966.jpg
삼계탕,korean,many_time,https://img.piku.co.kr/w/uploads/7zd4dE/88252f37eb0c491da197ca6b8d5edb2c.jpg
해물찜,supper,"many_time,perfect,stressed",https://img.piku.co.kr/w/uploads/7zd4dE/238e6418db8fafa086a93ebe972580e3.jpg
로제파스타,western,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/fb6bf4f34d4519cbe9857c3c57d0e1f5.jpg
육개장,korean,"no_time,stressed",https://img.piku.co.kr/w/uploads/7zd4dE/f1ca5a1ba47380e5519b06a26007c130.jpg
떡국,korean,no_time,https://img.piku.co.kr/w/uploads/7zd4dE/2eaeb0c26fc24de91c2e69683875c419.jpg
해신탕,korean,"many_time,perfect,stressed",https://img.piku.co.kr/w/uploads/7zd4dE/ffd720a8d3582584cecc2289a0463776.jpg
김밥,snack,no_time,https://img.piku.co.kr/w/uploads/7zd4dE/3246ef78b85907d442c3d50e770b31c3.jpg
누룽지백숙,korean,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/1280cc5ff585b6ae16078f70bdee6d44.jpg
불고기,korean,many_time,https://img.piku.co.kr/w/uploads/7zd4dE/453ecf2e7fb2ef268a8e118c1632cfb6.jpg
비빔국수,korean,stressed,https://img.piku.co.kr/w/uploads/7zd4dE/97326c1bf86b4fa2f0c4437681c0b0f2.jpg
깐쇼새우,chinese,"perfect,many_time",https://img.piku.co.kr/w/uploads/7zd4dE/6a1f181b3857ada0a56afe395c603543.jpg
소고기무국,korean,perfect,https://img.piku.co.kr/w/uploads/7zd4dE/dfb853b1e3cffeb45b6e519a09a2eb90.jpg
낙지볶음,korean,many_time,https://img.piku.co.kr/w/uploads/7zd4dE/0e110f2de8c10530deb6626a05bb4656.jpg
오리주물럭,korean,"many_time,stressed",https://img.piku.co.kr/w/uploads/7zd4dE/0038b45710fb15432a42397c1063e870.jpg
두부김치,korean,stressed,https://img.piku.co.kr/w/uploads/7zd4dE/dd0900c55bd3c9d994dbf5cd6a5bb933.jpg
마파두부덮밥,chinese,"stressed,many_time",https://img.piku.co.kr/w/uploads/7zd4dE/3c43f8280aae32de605e9d4c93bc6bf5.jpg
물만두,"korean,chinese",no_time,https://img.piku.co.kr/w/uploads/7zd4dE/5089e5f02559b61bf117dc79e8a97b34.jpg
오일파스타,western,perfect,https://img.piku.co.kr/w/uploads/7zd4dE/c3b122c9c197804cc4c53191756b20d4.jpg
깐풍기,"chinese,supper","perfect,stressed",https://img.piku.co.kr/w/uploads/7zd4dE/c92bbadefa8a8502ba4fddc9878410f2.jpg
비빔냉면,korean,"no_time,stressed",https://img.piku.co.kr/w/uploads/7zd4dE/7f4b6ee9f0a32e68f4d3a2172b56a464.jpg
군만두,"korean,chinese","no_time,stressed",https://img.piku.co.kr/w/uploads/7zd4dE/8cf663d92402749aa4a1d00188959d90.jpg
대구내장탕,korean,"perfect,stressed",https://img.piku.co.kr/w/uploads/7zd4dE/29c10e595e6e34cd358e3a0e62c2177f.jpg
메밀국수,"korean,japanese",no_time,https://img.piku.co.kr/w/uploads/7zd4dE/5fa38ebbeacba3fbbcd21553396d8866.jpg
청국장,korean,"perfect,stressed",https://img.piku.co.kr/w/uploads/7zd4dE/343c48812189f6ae0c816c36d7695e32.jpg
참치마요네즈덮밥,korean,no_time,https://img.piku.co.kr/w/uploads/7zd4dE/ee1815ac9914af7b7e9075091561b162.jpg
꿔바로우,chinese,"perfect,stressed,fatty",https://img.piku.co.kr/w/uploads/7zd4dE/6434ae47472cfced377c27d01ca1c9c8.jpg
닭한마리,korean,"perfect,stressed,fatty",https://img.piku.co.kr/w/uploads/7zd4dE/36367226398b206f53d40d4f99e114ae.jpg
중식볶음밥,chinese,no_time,https://img.piku.co.kr/w/uploads/7zd4dE/e785eeaa02967171ca54c86cdd17a81f.jpg
타코,snack,no_time,https://img.piku.co.kr/w/uploads/7zd4dE/1aac93a7ecf2a330d99d40b88033a842.jpg
문어숙회,korean,"no_time,stressed,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/90db99ffff38b36395025265c5a4b345.jpg
찐만두,"korean,chinese",no_time,https://img.piku.co.kr/w/uploads/7zd4dE/a0f6f7372a13a97c2d1c463abc764a40.jpg
매운탕,korean,"stressed,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/12b0d4134a7456fc5bf79644947a982b.jpg
고등어조림,korean,perfect,https://img.piku.co.kr/w/uploads/7zd4dE/8ea316fecae67f5a503d061dac47af6e.jpg
아보카도샐러드,salad,no_time,https://recipe1.ezmember.co.kr/cache/recipe/2020/02/22/4554f03378f8a997d9a54285322001971.jpg
새우샐러드,salad,no_time,https://recipe1.ezmember.co.kr/cache/recipe/2018/11/07/1462b80a25e7397a4d0d4ee9012610121.jpg
크랜베리샐러드,salad,no_time,https://lh3.googleusercontent.com/proxy/vVOaLEYM9VeMBaalv0EEtW4C-hfahIHRX2C3FcGS9NEqkwMnDB2ZBj1iDxD5j0Dv1WUc_ZrSY6YsDJw5TpJwsJADj9W-gAb9MCcpLlFRKXiRnLyohW4
감자샐러드,salad,no_time,https://recipe1.ezmember.co.kr/cache/recipe/2015/11/26/b89df75d19ee699fe9c675b488f8e1c9.jpg
